,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
343,buenos aires,76.0,BR,1538352114,95,-19.79,-45.68,65.64,7.43
344,haines junction,90.0,AR,1538349300,100,-34.61,-58.44,62.6,14.99
345,akcaabat,0.0,CA,1538352115,28,60.75,-137.51,48.9,2.73
346,igrim,75.0,TR,1538349600,83,41.02,39.57,71.6,4.7
347,green river,36.0,RU,1538352115,89,63.19,64.42,30.9,4.18
348,pouembout,90.0,US,1538348040,5,41.53,-109.47,69.08,14.14
349,moose factory,80.0,NC,1538352115,83,-21.12,164.9,71.22,6.76
350,forssa,90.0,CA,1538349240,93,51.26,-80.61,37.4,5.82
351,namatanai,75.0,FI,1538349600,100,60.82,23.63,44.6,6.93
352,andros town,20.0,PG,1538352116,95,-3.66,152.44,84.9,2.95
353,bloemhof,40.0,BS,1538348400,70,24.73,-77.79,84.2,11.41
354,alugan,0.0,ZA,1538352117,66,-27.65,25.61,63.12,13.8
355,grindavik,8.0,PH,1538352117,100,12.22,125.48,81.39,5.97
356,atar,90.0,IS,1538350200,86,63.84,-22.43,41,13.87
357,alcaniz,56.0,MR,1538351870,58,20.52,-13.05,77.79,3.51
358,ilulissat,0.0,ES,1538351875,37,41.05,-0.13,57.72,11.45
359,rocha,75.0,GL,1538351400,52,69.22,-51.1,42.8,12.75
360,kahuta,88.0,UY,1538351871,98,-34.48,-54.34,64.02,8.66
361,sakakah,0.0,PK,1538346540,60,33.59,73.39,71.6,6.93
362,gambela,0.0,PE,1538352118,63,-14.83,-74.94,59.97,2.28
363,dikson,68.0,ET,1538352119,86,8.25,34.59,62.04,2.06
364,teluk intan,32.0,RU,1538352122,92,73.51,80.55,39.9,26.33
365,vestmannaeyjar,75.0,MY,1538348400,94,4.02,101.03,77,2.24
